dataset,path,class_id,target_index,target_label,codec,quality,predicted_index,predicted_class,top1_confidence,is_correct,original_size_bytes,compressed_size_bytes,compression_ratio,psnr,ssim
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00009111.JPEG,n01440764,0,tench,webp,77,0,tench,0.7017450332641602,True,34065,29336,1.1612012544314154,35.36196005660241,0.968551060317908
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00009191.JPEG,n01440764,0,tench,webp,77,0,tench,0.5323442816734314,True,37836,35550,1.0643037974683545,34.755434255970655,0.9700392250456839
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00017472.JPEG,n01440764,0,tench,webp,77,0,tench,0.36365771293640137,True,29470,25688,1.1472282777950795,36.14990913438117,0.9590565546803128
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00017700.JPEG,n01440764,0,tench,webp,77,0,tench,0.49499115347862244,True,27741,23022,1.204977847276518,35.99064196333264,0.9577619109364585
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00021740.JPEG,n01440764,0,tench,webp,77,0,tench,0.5366436839103699,True,40286,37942,1.0617785040324705,35.272521469070846,0.9789015290475994
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00029930.JPEG,n01440764,0,tench,webp,77,0,tench,0.37543562054634094,True,51788,52834,0.9802021425597154,31.932934376305,0.9750521540832934
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00030740.JPEG,n01440764,0,tench,webp,77,0,tench,0.5795508623123169,True,19499,12470,1.563672814755413,37.93941206101632,0.957321424075535
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00037861.JPEG,n01440764,0,tench,webp,77,0,tench,0.4615378975868225,True,38394,36982,1.0381807365745497,34.55962585082975,0.9689425991228634
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00045880.JPEG,n01440764,0,tench,webp,77,0,tench,0.33869415521621704,True,41226,40122,1.0275160759682966,34.24194678078556,0.971098057796954
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00046252.JPEG,n01440764,0,tench,webp,77,0,tench,0.5019408464431763,True,40858,40028,1.0207354851603878,34.143499626657324,0.9687766208958418
imagenette,data/imagenette2-320/val/n01440764/n01440764_10040.JPEG,n01440764,0,tench,webp,77,0,tench,0.41869133710861206,True,27185,22110,1.229534147444595,35.90823250450732,0.960300703700152
imagenette,data/imagenette2-320/val/n01440764/n01440764_10042.JPEG,n01440764,0,tench,webp,77,391,coho,0.23039372265338898,False,20797,14048,1.4804242596810935,37.7061270472081,0.9667039769111799
imagenette,data/imagenette2-320/val/n01440764/n01440764_10110.JPEG,n01440764,0,tench,webp,77,0,tench,0.44160524010658264,True,42233,40194,1.0507289645220679,34.07655110884625,0.9786791949711281
imagenette,data/imagenette2-320/val/n01440764/n01440764_10120.JPEG,n01440764,0,tench,webp,77,0,tench,0.4060499668121338,True,17864,11142,1.6033028181655,38.693352371216044,0.960394108844313
imagenette,data/imagenette2-320/val/n01440764/n01440764_10150.JPEG,n01440764,0,tench,webp,77,0,tench,0.584532618522644,True,28171,24172,1.1654393513155716,35.21873500591259,0.9587949353657551
imagenette,data/imagenette2-320/val/n01440764/n01440764_10162.JPEG,n01440764,0,tench,webp,77,0,tench,0.439540833234787,True,58855,62246,0.9455226038620955,34.21280222505283,0.9860600720293089
imagenette,data/imagenette2-320/val/n01440764/n01440764_10211.JPEG,n01440764,0,tench,webp,77,0,tench,0.22642573714256287,True,26911,21584,1.2468031875463306,36.140009179239094,0.9656290969865212
imagenette,data/imagenette2-320/val/n01440764/n01440764_10251.JPEG,n01440764,0,tench,webp,77,0,tench,0.5265865921974182,True,36410,33876,1.0748022198606684,34.73831101355182,0.9723979965705798
imagenette,data/imagenette2-320/val/n01440764/n01440764_10281.JPEG,n01440764,0,tench,webp,77,0,tench,0.5236684083938599,True,35692,31776,1.1232376636455186,34.632753155826286,0.9699078064664374
imagenette,data/imagenette2-320/val/n01440764/n01440764_10290.JPEG,n01440764,0,tench,webp,77,0,tench,0.6588867902755737,True,33837,30596,1.1059288795921036,34.773906149921004,0.959414236771933
imagenette,data/imagenette2-320/val/n01440764/n01440764_10320.JPEG,n01440764,0,tench,webp,77,0,tench,0.43457621335983276,True,17586,11582,1.518390606112934,37.93280106080991,0.9569941247254706
imagenette,data/imagenette2-320/val/n01440764/n01440764_10331.JPEG,n01440764,0,tench,webp,77,394,sturgeon,0.2565844655036926,False,29247,21752,1.3445660169179845,36.41023330410712,0.9636672917094472
imagenette,data/imagenette2-320/val/n01440764/n01440764_10342.JPEG,n01440764,0,tench,webp,77,0,tench,0.5411978363990784,True,54309,49094,1.106224793253758,35.45362084146681,0.9625493593693469
imagenette,data/imagenette2-320/val/n01440764/n01440764_10361.JPEG,n01440764,0,tench,webp,77,0,tench,0.4836523234844208,True,35585,32192,1.1053988568588469,35.016616868473555,0.9742669433042105
imagenette,data/imagenette2-320/val/n01440764/n01440764_10380.JPEG,n01440764,0,tench,webp,77,0,tench,0.37494897842407227,True,31023,24520,1.2652120717781403,35.52618370267816,0.9649292887014743
imagenette,data/imagenette2-320/val/n01440764/n01440764_10382.JPEG,n01440764,0,tench,webp,77,0,tench,0.48929542303085327,True,29788,24130,1.2344799005387483,36.72516389220372,0.9658383755540335
imagenette,data/imagenette2-320/val/n01440764/n01440764_10410.JPEG,n01440764,0,tench,webp,77,0,tench,0.49412965774536133,True,23142,15376,1.505072840790843,37.33404723103955,0.955341134164495
imagenette,data/imagenette2-320/val/n01440764/n01440764_10462.JPEG,n01440764,0,tench,webp,77,0,tench,0.49519556760787964,True,20674,14282,1.4475563646548102,36.69597104407759,0.9490651252828629
imagenette,data/imagenette2-320/val/n01440764/n01440764_10470.JPEG,n01440764,0,tench,webp,77,0,tench,0.4543442130088806,True,30801,25940,1.1873939861218197,35.56159951140295,0.9658727199609052
imagenette,data/imagenette2-320/val/n01440764/n01440764_10482.JPEG,n01440764,0,tench,webp,77,0,tench,0.5436597466468811,True,23850,16776,1.4216738197424892,36.69608727427687,0.9614015761462512
